金翁建筑劳务有限公司,27117731263862,金翁,11489618717,科研设计单位,0892-90037405821,重庆市南阳市马村区施虎雨,iotxottwukbkyb@163.com,612858
郎吉吉新技术开发有限公司,9127380183786,郎吉吉,15741074291,高等教育单位,6007-01840577,北京市洛阳市范县褚德淼,acxzuutwxydcaw@qq.com,838320
孙娟军地质灾害防治有限公司,5216457053873,孙娟军,11497356450,高等教育单位,6854-4269956,海南省信阳市宁陵县武三金,goddqxovrjj@qq.com,940859
彭强门窗有限公司,54939178129590555,彭强,12749412447,国有企业,6429-94131365,河北省南阳市新郑市奚问,kjlcbeqdyyvssv@qq.com,868173
武静实业有限责任公司,142768995948051,武静,16400603843,科研设计单位,3310-4302081,江苏省商丘市西平县郑雨磊,rryqacg@qq.com,686022
蒋鑫建筑劳务有限公司,8811528021941856,蒋鑫,11939174477,国有企业,9009-7799133,河北省洛阳市上蔡县张敏,fnkzmz@qq.com,964718
沈磊土地整理有限公司,606205453879,沈磊,14642428163,艰苦行业事业,5546-4087422,浙江省焦作市文峰区武的,sjzzcljkrcveun@163.com,436877
魏静第食品有限责任公司,7706519644,魏静第,18507531786,高等教育单位,8715-475984,陕西省周口市兰考县彭洋勇,ofvjnv@163.com,826166
李鑫科技有限公司,4891992695572,李鑫,18357999648,党政机关,4459-2013976,广西壮族自治区周口市管城回族区彭双,wndvlw@163.com,530415
苏几虎贸易有限公司,715067115217,苏几虎,13836516283,党政机关,6970-98602538,宁夏回族自治区开封市柘城县孔洋,aourctfg@163.com,370797
褚啤构门窗有限公司,55308985470210750,褚啤构,12159850124,高等教育单位,4332-4049167,甘肃省新乡市尉氏县冯丽,qcpuvsroevii@163.com,106185
朱军艳商贸有限公司,32943432649083412,朱军艳,18992077181,中等、初等教育,2660-59466995,黑龙江省开封市金水区云勇德,gmrsudwgonnjf@qq.com,119035
韩叕几商贸有限公司,5807653904306,韩叕几,11774716537,国有企业,9376-21318403479,广东省鹤壁市老城区苏人几,ytirakldxuc@163.com,632171
秦构门窗有限公司,94317410435157,秦构,10872881451,国有企业,1174-1153654,香港焦作市玉泉街道施个,amhigs@163.com,610880
杨叕物资有限公司,1346847739,杨叕,17451438330,医疗、卫生单位,1534-30034852,湖北省南阳市郸城县尤题,spugugamx@qq.com,491795
曹构文化传媒有限责任公司,9682491186,曹构,13118191076,科研设计单位,2496-6551100666,广东省济源市解放区钱的,lqtlyuxii@163.com,729082
云人科技有限公司,6528555269354533,云人,16665073217,医疗、卫生单位,6569-742085,湖北省周口市通许县王娜,cgngzvlrtl@163.com,345691
钱磊人力资源管理咨询有限公司,97811868247336,钱磊,16576021090,其它事业单位,0055-5718821,河南省平顶山市大峪镇秦的,jhoovowpnjbn@qq.com,274862
尤机机园林有限责任公司,139022828255,尤机机,13815166959,高等教育单位,8266-9794335,宁夏回族自治区济源市永城市韩淼又,zxcygmwfgc@qq.com,794545
郎秀集团有限公司郎秀电力设备分公司,9265006181,郎秀,17447001085,党政机关,4696-3537914,重庆市信阳市上蔡县施淼,ectrxrzpuw@qq.com,358865
蒋鑫节汽车美容有限公司,92966454371580,蒋鑫节,10230998908,中等、初等教育,9596-868569,江西省许昌市泌阳县苏强,jkbfajx@163.com,808421
许磊几财税咨询服务有限公司,5500490739453,许磊几,12995391109,中等、初等教育,2315-68202974,云南省平顶山市驿城区钱尚三,vfyoqkyph@163.com,948841
武个水消防工程有限责任公司,181159913659336,武个水,11750776579,中等、初等教育,3591-669753,青海省新乡市新华区赵几,atapuwyzzuvu@qq.com,594399
华他芳花木总公司,417056182110,华他芳,17263921153,科研设计单位,5053-646370236,青海省焦作市嵩县陶丽个,reimmjfxyfcetr@qq.com,799365
